settlement_lag,price_deviation,volume_vs_avg,price_pct_change,volume_pct_change,volume_bucket,price_bucket
6,-0.019419913480664654,1.0823718937321924,0.0,0.0,normal,normal
3,0.010863777290847317,0.979740824982104,-1.559414299227635,-0.09482052272828334,normal,normal
10,0.2276341480275611,1.3504628577185516,19.953499131406335,0.37838785858823343,high,high
7,-0.06631732485263171,1.4275766827410115,-1.2913329367639614,0.05710177409302064,high,normal
4,0.1236281190561363,1.1319195021244461,-2.8641903805809243,-0.20710423768542519,normal,high
6,-0.10074089613462829,0.8198126767098001,-1.8148704105809819,-0.27573235095681936,normal,low
9,-0.08317346828235694,1.2366862520129802,-0.1743822868995979,0.5084985718642971,high,normal
2,-0.02080995135992733,1.6678279485722811,-0.7498006060143867,0.34862657837226085,high,normal
6,0.10305457059735311,0.9863550301801496,-5.9521773893138485,-0.4085990518239583,normal,high
10,0.23883639251021377,0.8663719427884867,1.3175720506699014,-0.12164290110605402,normal,high
10,0.019309052707755025,1.194085128833995,-0.9191536410979357,0.37825923239242654,normal,normal
7,-0.29996738226470887,1.0193635101848058,-16.535064656187615,-0.1463225815564776,normal,low
4,0.12628925870678756,0.33114528804110044,-1.4210099703285155,-0.6751450442040392,low,high
3,0.4907684348291419,1.1196654001987407,2.886066319928165,2.381190796408893,normal,high
7,0.021733766213470087,0.326618795618118,-0.9557148246075838,-0.7082889267095838,low,normal
7,-0.3417535278359159,1.1872403232042228,-16.72454237701816,2.6349418316768936,normal,low
2,0.03393057789417025,0.6014286377967164,-1.0992837677756502,-0.4934230028731412,low,normal
5,-0.0006025206367678481,1.018437402093173,-1.0177574528393567,0.6933636645972387,normal,normal
4,-0.017421768672477897,1.1952969530996183,27.914808239490267,0.1736577531843877,normal,normal
1,0.18908197999542653,2.2269516729717855,-11.85320230971322,0.8630949131066574,high,high
7,0.27565495726714484,1.371374980893462,0.45785948123566467,-0.3841918540318334,high,high
5,0.13671714904021656,1.6823994048711675,-0.504027968894025,0.2267975049209885,high,high
1,-0.02661161693421369,1.9358739093469621,-1.1946472488713589,0.15066250246041002,high,normal
4,0.22513575687392595,1.2446279584997222,-9.460055525016829,-0.35707178422608177,high,high
0,-0.29876592824284814,1.1428449001335996,-2.3270478772066157,-0.0817778981028292,normal,low
9,-0.14321122414679893,0.4666394455868921,-0.5206574424698405,-0.5916861110966662,low,low
5,-0.12092555572034594,0.9416850337998027,-0.1556139789965696,1.0180142135550634,normal,low
8,-0.006190129586386913,0.6384561351820688,-0.948810410260158,-0.3220067089674049,low,normal
0,0.10134693249736754,0.7994705749378069,-17.372344243042292,0.25219342548853674,low,high
10,-0.04014258966745675,1.9353316880962343,-1.3960908206915827,1.4207666282737037,high,normal
10,-0.18120715890045497,1.057310754599995,3.514087416920141,-0.4536798208269609,normal,low
